,divisions,title,abstract,subjects,publication
309,['FP25'],Bukti Kinerja Dana Hibah Bersaing,"Upaya terus dilakukan untuk meningkatkan produksi jagung manis salah satunya dengan melakukan pemupukan.Sumber pupuk nabati sumber Nitrogen seperti ekstrak lamtoro belum
banyak diteliti. Tujuan penelitian ini adalah untuk mengetahui pengaruh pemupukan ekstrak daun lamtoro terhadap pertumbuhan dan produksi jagung manis Penelitian ini menggunakan rancangan acak kelompok (RAK), dengan lima perlakuan yaitu tanpa pemberian pupuk, pemberian pupuk urea dosis 300 kg/ha, pemberian pupuk organik cair daun lamtoro dengan konsentrasi 500 cc/ l air (diaplikasikan ke daun satu
kali seminggu mulai umur 2MST sampai 7MST), pemberian urea (pupuk dasar) dosis 150 kg/ha + pupuk organik cair daun lamtoro 500 cc/l (diaplikasikan ke daun satu kali
seminggu mulai umur 2MST sampai 7MST), pemberian urea dosis (pupuk dasar) 150 kg/ha + pupuk organik cair daun lamtoro 500 cc/l (diaplikasikan ke daun satu kali seminggu mulai umur 5 MST sampai 7MST), dan setiap perlakuan terdiri dari 3
ulangan.  Hasil penelitian ini menunjukan bahwa (1) Ekstrak lamtoro dapat dijadikan alternatif sumber pupuk nitrogen nabati, yang terbukti dari  produksi jagung manis hasil
aplikasi ekstrak lamtoro sama dengan produksi jagung manis dengan aplikasi pupuk rekomendasi nitrogen.  (2)  Pemberian pupuk urea (pupuk dasar) dosis 150 kg/ha dan
pupuk organik cair daun lamtoro dengan konsentrasi 500 cc/l air memberikan hasil
cenderung lebih tinggi terhadap pertumbuhan dan produksi tanaman jagung manis.
. 

Penelitian tahun kedua bertujuan untuk melihat pengaruh jenis pupuk organik dari limbah tandan kosong kelapa sawit dan jerami padi  yang diperkaya dengan kotoran ternak dan
dolomit serta interaksinya dengan pupuk Nitrogen (N).  Penelitian n dilaksanakan dengan Rancangan Faktorial 4 x 3.  Faktor pertama adalah: P1 = pupuk kompos tandan kosong
kelapa sawit, dosis 20 ton ha ; P2 = pupuk kompos tandan kosong kelapa sawit 60% diperkaya pukan ayam 30% dan dolomit 10% , dosis 20 ton ha -1 ;  P3 = pupuk kompos serasah jerami, dosis 20 ton ha -1 ;  P4 = pupuk organik serasah jerami 60% diperkaya pukan ayam 30% dan  dolomit 10%, dosis 20 ton ha -1 ;  Faktor Kedua adalah dosis pupuk UreaN0:
kontrol; N1: 150 kgha -1  (dosis tinggi).  Penelitian kedua tahun pertama telah ditemukan jenis kompos organik yang diperkaya dan interaksinya dengan pupuk Nitrogen, dalam rangka upaya mengurangi penggunaan pupuk anorganik.  

Penelitian tahun ketiga bertujuan untuk melihat pengaruh dari limbah jerami padi  yang diperkaya dengan kotoran ternak dan dolomit serta interaksinya dengan pupuk Kalium (K). Penelitian  dilaksanakan dengan Rancangan Faktorial 2 x 3.  Faktor pertama adalah: P1 = pupuk kompos standard jerami padi dosis 20 ton ha -1  (dosis sedang); N2: 300 kgha
-1 ; P2 = pupuk kompos jerami padi 60% yang diperkaya pukan ayam 30% dan dolomit 10%  dosis 20 ton ha -1 ; Kedua adalah dosis pupuk KCl:K0: kontrol; K1: 100 kgha -1
 (dosis tinggi). Penelitian tahun kedua telah ditemukan bahwa pupuk organik jerami yan gdiperkaya berinteraksid deengan pemberian pupuk Kalium.  Dosis pupuk Kalium yang
direkomendasikan adalakah dosis sedang 100 kg ha -1
 (dosis sedang); K3: 200 kgha -1
.",['S1'],
310,['FP25'],"Bukti Surat Penugasan Dana penelitian Hibah Bersaing dengan total dana tercatat adalah Rp122.500.000,00 (seratus dua puluh dua juta lima ratus ribu rupiah)","Surat Penugasan Dana penelitian Hibah Bersaing tahun 2014 (arsip tidak ditemukan), tahun 2015 (terlampir arsip dana 72,5 juta) dan tahun 2016 (terlampir arsip dana 50 juta) dengan total dana semua adalah tercatat Rp122.500.000,00 (seratus dua puluh dua juta lima ratus ribu rupiah)",['S1'],
311,['FP25'],Bukti mereview artikel artikel Jurnal Scopus Q1 Journal of Agriculture and Food Research. Penerbit Elsevier.,"Journal of Agriculture and Food Research is  journal covering the technologies/fields/categories related to Agricultural and Biological Sciences (miscellaneous) It is published by Elsevier BV. The P-ISSN of this journal is 26661543. According to SCImago Journal Rank (SJR), this journal is ranked 0.59. The best quartile for this journal is Q1.",['S1'],
312,['FP25'],"Bukti mereview artikel artikel jurnal Scopus Q2 South African Journal of Botany, Elsevier","South African Journal Of Botany is a research journal that publishes research related to Plant Science. This journal is published by the Elsevier. The P-ISSN of this journal is 2546299. Based on the Scopus data, the SCImago Journal Rank (SJR) of South African Journal of Botany is 0.504. The best quartile for this journal is Q2.",['S1'],
313,['FP25'],"The effect of rice straw mulch and cow urine on growth, yield, quality on sweet corn and pest population density","Organic matter such as paddy straw mulch and cow urine could be used to improve the soil structure. The study aims to determine the effect of rice straw mulch and cow urine
application on growth, yield, quality, and population of sweet corn pests.  This study used a 2 x 4 factorial randomized block design with three replications.  The first factor is rice straw mulch consisting of 2 levels, namely, with mulch and without mulch, and the second factor is the concentration of cattle urine composed of 4 levels, namely 2.5 ml L -1 , 5.0 ml L -1 , 7,5 ml L -1 , 10.0 ml L -1 .  The results showed that rice straw mulch and cow urine increased sweet corn's growth, yield, and quality.  The maximum yield of 17.87 t ha -1  was achieved in the treatment of straw mulch accompanied by cattle urine 
10.0 ml L  -1 .  In comparison, the results of 15.33 t ha
-1  were achieved in the treatment without rice straw mulch accompanied by 10.0 ml L -1  cow urine.  The intensity of corn planthopper pests (Delphacidae family) ranged from 40-40.4% in 7 WAP and between 44.5 - 51.1% in 8 WAP and was not consistently affected by mulch treatment or the level of concentration of cattle urine.",['S1'],Asian Journal of Agriculture and Biology
314,,Bukti Korespondensi an. PROF PATUAN,,"['L1', 'LB1501', 'LC5201']",
315,['FKIP24'],Kebudayaan Indis: Hasil Akulturasi Budaya antara Jawa dengan Kolonial Belanda,"Indische culture is a culture that results from a combination of European (Dutch) culture and local (Javanese) culture. Starting from the arrival of the Dutch to Indonesia which resulted in a cultural contact. Caused by this cultural contact, then  led  to  acculturation  between  Dutch  culture  and  local  culture  resulting  in  a  new  culture  called  Indische  culture.  This article was written with the aim of finding out about how Indische culture can enter and develop in Indonesia. The method  used  is  literature  study,  namely  by  collecting  historical  sources  and  data  consisting  of  archives,  documents,  books, journals, newspapers and magazines.",['D1'],PUSTAKAJURNAL ILMU-ILMU BUDAYA
316,['FMIPA9'],"Perbandingan Word Embedding Word2Vec, GloVe, Dan FastText
Menggunakan Deep Learning (LSTM) Pada Data Drugs Review",,['QA76'],
317,['FP17'],PENGARUH LARUTAN DAUN KERSEN (Muntingia calabura)TERHADAP KUALITAS KUNING TELUR ASIN RENDAH SODIUM,"Penelitian ini bertujuan untuk mengetahui pengaruh konsentrasi larutan daun kersen terhadap indeks kuning telur, warna kuning telur, dan pH kuning telur serta konsentrasi daun kersen terbaik untuk telur asin. Penelitian ini dilaksanakan pada 25 Februari--01 Maret 2022, bertempat di Laboratorium Produksi Ternak, Jurusan Peternakan, Fakultas Pertanian, Universitas Lampung. Metode yang digunakan adalah Rancangan Acak Lengkap (RAL), dengan 4 perlakuan konsentrasi daun kersen (0%, 10%, 20%, dan 30%) dengan 5 ulangan. Setiap satuan percobaan menggunakan 7 butir telur ayam sehingga total 140 butir telur dan 60 butir dijadikan sampel penelitian. Selanjutnya data yang didapatkan dianalisis dengan ragam taraf nyata 5%. Hasil penelitian menunjukkan terdapat pengaruh tidak nyata (P<0,05) terhadap indeks kuning telur, warna kuning telur, dan pH kuning telur. Daun kersen konsentrasi 30% menunjukkan perlakuan nilai indeks kuning telur dan pH kuning telur sebesar 0,85 dan 6,85 sedangkan, pada warna kuning telur sebesar 10,93.",['SF'],Jurnal Riset dan Inovasi Peternakan
318,['FKIP19'],Students’ Concept Mastery with the Web Inquiry Environment,,"['L1', 'Q1']",
319,['FP23'],"PELATIHAN PEMBUATAN PGPR UNTUK BAHAN PENGAYA BIOCHAR SEBAGAI MEDIA TUMBUH BIBIT KAKAO DI DESA SIDOMULYO, KABUPATEN TANGGAMUS","Plant growth promoting bacteria (PGPR) merupakan sekumpulan mikroba bermanfaat bagi pertumbuhan tanaman dan sebagai bahan pengaya biochar untuk bahan media tanam. Di Desa Sidomulyo mayoritas bekerja sebagai petani perkebunan diantaranya kakao. Bibit kakao diusahakan sendiri oleh petani dengan metode stek. Kualitas bibit kakao dapat ditingkatkan dengan menggunakan media tanam yang tepat misalnya memanfaatkan PGPR dan biochar. PGPR berasal dari sumberdaya hayati lokal seperti akar bambu, sedangkan biochar berasal dari sekam padi. Kegiatan pelatihan dilakukan dengan metode ceramah, praktik pembuatan PGPR, dan demplot. Perlakuan yang digunakan sebagai demoplot antara lain: Kontrol, aplikasi PGPR, Biochar, dan kombinasi PGPR-biochar. Masing-masing perlakuan diulang 3 kali ulangan sehingga didapatkan 12 unit percobaan. Variabel yang diamati antara lain tinggi tanaman dan pH media tanam. Kegiatan dilaksanaan 22 Agustus 2022, dengan jumlah peserta sebanyak 15 petani. Hasil evaluasi pretest dan postest menunjukkan peningkatan pemahaman yang signifikan mengenai PGPR dari 13% menjadi 80%. Monitoring hasil pembuatan PGPR dinyatakan berhasil dengan indikator produk berbau seperti tape setelah 14 hari fermentasi. Hasil demplot menunjukkan bahwa perkembangan tinggi tanaman pada perlakuan biochar lebih baik dibandingkan dengan perlakuan lainnya. Nilai pH tanah pada perlakuan aplikasi biochar lebih baik dibandingkan perlakuan yang lainnya",['S1'],"PELATIHAN PEMBUATAN PGPR UNTUK BAHAN PENGAYA BIOCHAR SEBAGAI MEDIA TUMBUH BIBIT KAKAO DI DESA SIDOMULYO, KABUPATEN TANGGAMUS"
320,['FP23'],"Pelatihan Pembuatan PGPR untuk Bahan Pengaya Biochar sebagai Media Tumbuh Bibit Kakao di Desa Sidomulyo, Kabupaten Tanggamus","Plant growth promoting bacteria (PGPR) merupakan sekumpulan mikroba bermanfaat bagi pertumbuhan tanaman dan sebagai bahan pengaya biochar untuk bahan media tanam. Di Desa Sidomulyo mayoritas bekerja sebagai petani perkebunan diantaranya kakao. Bibit kakao diusahakan sendiri oleh petani dengan metode stek. Kualitas bibit kakao dapat ditingkatkan dengan menggunakan media tanam yang tepat misalnya memanfaatkan PGPR dan biochar. PGPR berasal dari sumberdaya hayati lokal seperti akar bambu, sedangkan biochar berasal dari sekam padi. Kegiatan pelatihan dilakukan dengan metode ceramah, praktik pembuatan PGPR, dan demplot. Perlakuan yang digunakan sebagai demoplot antara lain: Kontrol, aplikasi PGPR, Biochar, dan kombinasi PGPR-biochar. Masing-masing perlakuan diulang 3 kali ulangan sehingga didapatkan 12 unit percobaan. Variabel yang diamati antara lain tinggi tanaman dan pH media tanam. Kegiatan dilaksanaan 22 Agustus 2022, dengan jumlah peserta sebanyak 15 petani. Hasil evaluasi pretest dan postest menunjukkan peningkatan pemahaman yang signifikan mengenai PGPR dari 13% menjadi 80%. Monitoring hasil pembuatan PGPR dinyatakan berhasil dengan indikator produk berbau seperti tape setelah 14 hari fermentasi. Hasil demplot menunjukkan bahwa perkembangan tinggi tanaman pada perlakuan biochar lebih baik dibandingkan dengan perlakuan lainnya. Nilai pH tanah pada perlakuan aplikasi biochar lebih baik dibandingkan perlakuan yang lainnya",['SB'],Abditani Jurnal Pengabdian Masyarakat
321,['FP7'],KERAGAMAN TANAMAN DAN SUMBANGAN PENERIMAAN TUMPANGSARI KOPI DAN LADA DI KABUPATEN TANGGAMUS PROVINSI LAMPUNG,"CROP DIVERSITY AND REVENUE SHARE OF COFFEE AND 
BLACK PEPPER INTERCROPPING IN TANGGAMUS DISTRICT LAMPUNG PROVINCE

In Tanggamus, pepper trees are commonly intercropped in coffee plantations with coffee-pepper intercropping type (dominant coffee), pepper-coffee type (dominant pepper), and agroforestry type. The intercropping system plays an important role in improving agro-ecosystems, increasing farm productivity and income. This study aimed to study crops diversity, productivity and revenue of coffee-pepper intercropping farming. This study used a survey method. The survey locations were determined purposively in two sub-districts which were centers of coffee cultivation in Tanggamus, namely Ulu Belu and Air Naningan District. In the Ulu Belu District, the villages of Sinar Banten, Sinar Galih, Petai Kayu were selected purposively, and in the Air Naningan District were Datar Lebuay Village and Air Kubang Village. Primary data was collected by visiting plantations and interviewing farmers. Sample farmers were determined randomly with a total of 137 samples. The diversity of intercrops was analyzed by calculating the Benefit Index Value and Importance Value Index. The results showed that coffee plantations were generally intercropped (79-86%) between coffee and black pepper. Based on the Importance Value Index, in Ulu Belu the most important intercrops were black pepper, banana, avocado and cayenne pepper, while in Air Naningan they were black pepper, jengkol, cayenne pepper and durian. The revenue of intercropping coffee farmers could reach IDR 24 million/hectare/year. This revenue was obtained from both the coffee-black pepper intercropping or the coffee-non-black pepper intercropping. The productivity of intercropping coffee ranged from 528-1,097 kg/hectare. The productivity of black pepper intercrop ranged from 0.45-0.54 kg per tree and contributed 11-29% of coffee revenue. 

Key words:  Diversity, Coffee, Pepper, Intercropping, Revenue",['S1'],Jurnal Agrotek Tropika
322,['FMIPA2'],SELEKSI DAN KARAKTERISASI PLANLET BAWANG MERAH (Allium ascalonicum L.) TERHADAP CEKAMAN GARAM NATRIUM KLORIDA (NaCl) SECARA IN VITRO,"Onion (Allium ascalonicum L.) is a spice commodity that has many benefits and high economic value. One of the factors causing low onion production is due to less productive land due to salt stress or salinity. This study aims to determine the specific character and effective concentration of NaCl for selection of onion plantlets under salt stress conditions in vitro. The research design was in the form of a completely randomized design (CRD) consisting of 1 factor, namely NaCl concentration: 0%, 0.15%, 0.30%, 0.45%, 0.60% with 5 replications. The homogeneity of the data was analyzed by Levene's test and continued with the oneway Anova test and Tukey's test at 5% significance level. The results showed that the effective concentration of NaCl for selection of onion plantlets under salt stress conditions in vitro was 0.15%. The higher the concentration of NaCl, the smaller the size of the plantlets with the lower the height of the plantlets, the visualization of the leaf color becomes yellowish green to brown, and the decreased content of chlorophyll a, b, and total chlorophyll.",['QK'],Jurnal Pertanian Agros
323,['FKIP2'],Perspektif Gen Z terkait Konten Bertema Psikologis di Media Sosial,"Penelitian ini bertujuan untuk mengeksplorasi saran dari perspektif Gen Z sebagai pengguna aktif media sosial terhadap konten bertema psikologis yang beredar di berbagai platform media sosial. Survei kualitatif menggunakan aplikasi google form dilakukan kepada 917 partisipan dengan rentang usia 17 – 22 tahun yang terjaring melalui metode voluntary sampling. Total data yang terkumpul adalah 19.331 kata dengan rata - rata kata per-partisipan adalah 21,08 kata. Data dianalisis menggunakan Teknik thematic analysis dengan bantuan aplikasi ATLAS.ti. versi 8.4.3 for Mac. Berdasarkan hasil analisis data, diketahui bahwa saran Gen Z kepada content creator mengerucut kepada 4 tema, yaitu : 1. Pemilihan bahasa untuk menyampaikan konten, 2. Pengaturan gaya komunikasi dalam menyampaikan narasi konten, 3. Memperhatikan kualitas isi konten dan 4. Mengatur aspek teknis dalam mempublikasikan konten. Temuan ini dapat membantu para content creator untuk dapat membuat konten psikologis yang lebih relevan dan bermanfaat bagi Gen Z.",['L1'],Indonesian Journal of Educational Counseling
324,['FKIP24'],"Emergency Government of Lampung Residency during Kraai Operation, 1949- 1950","During the independence war of Indonesia, particularly, Kraai Operation or in the military base, also known as the Dutch Military Aggression II in the Lampung Residency, made many contributions to maintaining state sovereignty. e revolution in the Lampung region was part of the Sumatra Province, namely the Lampung Residency. is study aimed to find out the impact of the Kraai Operation. e research used historical research methods. We conducted the research in three regions once the Lampung Residency’s emergency capital focused on politics, the military, and economics. During the Kraai Operation period or Dutch Military Aggression II 1949-1950, Lampung Residency led by Gele Harun Nasution issued political, military, and economic policies to counteract the Kraai Operation. He moved the Government and Defense, formed the North Front, Central Front, and Southern Front, and coordinated the camps in the Lampung Residency. Moreover, he printed emergency money for the Residency of Lampung to prevent the spread of the Dutch currency, which affected inflation.",['D1'],Paramita: Historical Studies Journal
325,['FT4'],"TINGKAT AKSESIBILITAS KAWASAN TRANSIT STASIUN MANGGARAI, JAKARTA SELATAN","Manggarai Station is one of DKI Jakarta Province's busiest stations. Manggarai Station's existence as a transit node promotes mobility from residential areas to the station. Many activities are impacted by land use around the  station.  In  order  to  accommodate  this  matter,  good  accessibility  is  required.  The  development  of  the Manggarai  Station  area  appears  to  follow  the  Transit  Oriented  Development  concept  (TOD).  The implementation of the TOD concept is expected to improve the accessibility of the Manggarai Station transit area. As a result, the purpose of this research is to determine the level of accessibility of the Manggarai Station transit area.",['TA'],JURNAL PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN
326,['FISIP2'],GRADUASI: Construction Independence Receiver Benefits of the Program Keluarga Harapan (PKH) in Rural Areas,"So far, direct assistance provided by the government to the community or poor families in the community is in the form of direct cash assistance. The program is in the form of Program Keluarga Harapan (PKH). However, the assistance is insufficient to have a significant impact on the community in order for the family to become independent. The dynamics of social life are so complex that they experience the spirit of the Program Keluarga Harapan (PKH), which is to make people more independent. Concrete evidence should be a sign that the poor are independent, namely, they will graduate themselves without coercion from anyone. This means that they release the assistance provided by the government in the form of the Program Keluarga Harapan (PKH) without coercion and with full awareness. The graduation process that has occurred and has not yet occurred has become a dynamic that needs to be seen from a scientific perspective, thus providing scientific information about the dynamics that occur in the community of Way Wakak Village, North Lampung Regency. Therefore, to see the dynamics of graduation in the spectrum of knowledge, a study was conducted on ”GRADUASI: Construction Independence Receiver Benefits of the Program Keluarga Harapan (PKH) in Rural Areas” in Way Wakak Village, North Lampung. The study aims provide an overview of the dynamics of graduation that occurs in the midst of the poor, who will later find a formulation to make a more independent society. This study uses a qualitative method with case studies. In addition, this study also uses quantitative techniques in collecting data, both in the form of primary and secondary data. This research was conducted in Way Wakak Village, North Lampung. With this method and the field of study that will be investigated, this study will produce the dynamics of PKH beneficiary families in their social life, whether they are already empowered after the assistance or otherwise. The aim is to know the condition of the community comprehensively and is useful to provide an overview and appropriate solutions that can be offered if the assistance is not significantly successful. Thus, the graduation which is part of the PKH is actually carried out by the community voluntarily on the basis of their independence.",['HM'],
327,,Literasi Keuangan dan Kelestarian Lingkungan melalui Bank Sampah,"Permasalahan  sampah  telah  menjadi  sorotan  beberapa  negara  terutama  di  Indonesia, terlebihsampah   plastik   yang   dapat   mencemari   lingkungan.   Fakultas   Ekonomi   dan   Bisnis   Universitas Lampung berkerjasama dengan PT. Pegadaian  (Persero) mendukung kegiatan pengelolaan sampah di kelurahan Sukamenanti Baru, Kedaton Bandar Lampung. Adapun dukungan tersebut antara lain penyuluhan dan literasi keuangan serta kelestarian lingkungan melalui bank sampah. Bank sampah di  kelurahan  Sukamenanti  Baru,  Kedaton  Bandar  Lampung  sudah  berdiri  selama  3  tahun  namun belum berjalan dengan baik terutama terkait pengelolaan keuangan. Tujuan dari kegiatan ini antara lain mengedukasi masyarakat terkait cara pengelolaan keuangan di bank sampah agar lebih terkelola dengan  baik,  serta  memotivasi  masyarakat  agar  meningkatkan  penghasilan  antara  lain  dengan mengolah   sampah   menjadi   tabungan   emas.   Peserta   pelatihan   berjumlah   30   orang.   Hasil menunjukkan bahwa peserta antusias dan termotivasi untuk Kembali mengelola bank sampah yang selama  ini  terhentikarena  masa  pandemic  covid-19  pada  2  tahun  lalu,  Dengan  demikian,  dampak kegiatan penyuluhan ini ialah meningkatnya motivasi masyarakat untuk mempersiapakan tabungan masa  depan  yang  aman  dan  efektif  dengan  cara  pengelolaan  sampah  di  bank  sampah. Kegiatan ini dapat  menambah  pengetahuan  masyarakat  terkaitpengelolaan  sampah  secara  berkelanjutan dan meningkatkan kesadaran untuk mewujudkan kelestarian lingkungan","['H1', 'HF', 'HJ']",Jurnal Pengabdian Masyarakat I-Com: Indonesian Community Journal
328,,CEK PLAGIARISME: Literasi Keuangan dan Kelestarian Lingkungan melalui Bank Sampah,,"['H1', 'HF', 'HJ']",
329,['FT4'],"AN IMPLICIT FINITE DIFFERENCE METHOD FOR
THIN FILM FLOW","Thin film flow on an inclined plane can be modeled from lubrication theory. Together with boundary conditions, the governing equations can be formulated into a single equation of the thickness of the fluid, and solved numerically by
an implicit finite difference method. In analyzing the equation, the linearized equation is considered here, to see the characteristic of the solution as wave propagation
and the effect of the physical parameter. We found that the wave propagates by reducing the amplitude, and the wave speed is affected by the steepness of the plane.
All of these can be indicated in the linearized equation. Numerical wave-simulation is presented in this paper.

Keywords and Phrases: thin film flow, theory of lubrication, single equation, numerical wave-simulation",['TA'],Journal of The Indonesian Mathematical Society
330,['FT4'],Similarity Check An Implicit Finite Difference Method for Thin Film Flow,"Thin film flow on an inclined plane can be modeled from lubrication theory. Together with boundary
conditions, the governing equations can be formulated into a single equation of the thickness of the
fluid, and solved numerically by an implicit finite difference method. In analyzing the equation,
the linearized equation is considered here, to see the characteristic of the solution as wave propagation
and the effect of the physical parameter. We found that the wave propagates by reducing the amplitude,
and the wave speed is affected by the steepness of the plane. All of these can be indicated in the
linearized equation. Numerical wave-simulation is presented in this paper.",['TA'],
331,['FP1'],ANALISIS PREFERENSI DAN KEPUASAN KONSUMEN KERIPIK PISANG SHINTA DI KOTA BANDAR LAMPUNG,"This study aims to analyze preferences, consumption patterns and consumer satisfaction in purchasing Shinta Banana Chips in Bandar Lampung City. Respondents were taken by the accidental sampling method as many as 50 respondents and data collection was carried out from May to June 2022.  The analytical method used is conjoint analysis, qualitative descriptive analysis, Customer Satisfaction Index (CSI) and Importance Performance Analysis (IPA). The result showed that the consumers of Shinta Banana Chips were mostly female aged 18-25 years as many as 26 consumers. The attributes of banana chips that became consumer preferences were sweet taste with a size of 250 grams, crunchy textured with plastic packaging. Shinta Banana Chips consumers usually buy and consume 250 grams of Banana Chips as many as 34 respondents (68%). The average purchase of 200-750 grams was 27 respondents with the frequency of purchasing Shinta Banana Chips at most 1-2 times per month (78%). The variation of the Shinta Banana Chips taste that many consumers like is the chocolate flavor variation (30%) with the reason that consumers consume it for their own consumption. Halal label is considered very important (86%). Consumer satisfaction was obtained by 86.41% in the very satisfied category.

 

Key words: banana chips, consumer, consumption pattern, preference",['AC'],Jurnal Ilmu-Ilmu Agribisnis
332,['FISIP4'],"PeranPerpustakaan  Jalanan ""Jakarta  Book  Hive"" dalam MenumbuhkanMinat Baca dan Pendidikan Literasibagi Pembaca Anak","Penelitian ini ditulis dalam kerangka untuk melihat dan mendeskripsikan suatu alternative baru dibidang literasi dan pendidikan, seperti inisiasi perpustakaan jalanan Jakarta Book Hivedalam rangkamenumbuhkanminat baca dan pendidikan literasi bagi anak-anak.Tujuan  penelitian ini  adalah  untuk  mengetahui  bagaimana proses pendirian dan peranan dariPerpustakaan Jalanan,Jakarta Book Hivedan melihat berbagai unsur yang terkandung di  dalamnyaaktivisme  sosialmedia,  kerelawanan,  pemanfaatan  dan kemungkinan  replikasi(pendirian  ulang)diberbagai daerahlaindalam rangka peningkatan minat baca dan pendidikan literasi bagi anak. Penelitian ini merupakan penelitian kualitatifyang berfokus pada kajian literatur dan observasi digital(media sosial). Teknik pengumpulan data memanfaatkan berbagai informasi yang terekam pada akun sosial media resmi Jakarta Book Hive,akun  Instagram:  @jakartabookhive.  Informasi  yang  tersajiberupa  data  yang  dibagikan  pendiri,  pengelola, dan penguna dan berbagai pertanyaan dan komentar nitizen dalam sosial media.Selanjutnya untukpengolahan dan analisis data menggunakan model analisis data Miles dan Huberman yang terdiri dari empat tahap, yaitu pengumpulan  data,  reduksi  data,  penyajian  data,  dan penarikan  kesimpulan. Hasilpenelitianmenunjukan bahwa  inisiatif  dan  program  ini  diterima  secara  positif,  bahkan  dukungan  juga  mengalir  dari  berbagai  pihak secara  sukarela  melalui  aktivisme  sosial.  Keberaradaan  Jakarta  Book  Hive  juga  terbukti  berhasil  dalam menumbuhkan minat baca masyarakat dan menyediakan informasi terutama bagi masyarakat sekitar",['Z719'],Educative: Jurnal Ilmiah Pendidikan
333,['FEB6'],"The Influence Of Brand Image and Brand Experience on Cosmetic Makeover 
Brand Loyalty in Bandar Lampung","The Indonesian cosmetics business is expanding at an unprecedented 
rate. Since there are so many cosmetics manufacturers, rivalry is fierce 
within both the domestic and international markets. The Compas team 
found that Make Over's facial cosmetics sales and statistics on the 
market still lag behind the market leader, Maybelline. Furthermore, 
Make Over still needs to be included in the Top Brand Index category, 
as it is mentioned by the Top Brand Index for a number of cosmetic 
products for 2020-2022. Make Over Cosmetics' biggest challenge is the 
abundance of similar products on the market. Since there are so many 
cosmetics manufacturers, rivalry is fierce within both the domestic and 
international markets. The purpose of this research is to analyze the 
connection between consumers' perceptions of the Make Over brand 
and their allegiance to the company among Bandar Lampung 
residents. Descriptive and proof analysis methodology was used for 
this study. Both primary and secondary sources were used to compile 
the information for this research. One hundred respondents were 
chosen using a non-probability sampling technique called purposive 
sampling, and online surveys were distributed to them via Google 
Forms; the gathered data was analyzed using multiple linear 
regression. This research found that brand loyalty is positively and 
significantly impacted by brand image and brand experience factors. 
Consumers are more likely to remain dedicated to a brand if they have 
a favorable impression of it and have a positive interaction with it. 
Holding activities is one way that Make Over can boost Brand Image. 
Make Over should not compromise product quality in order to 
provide a satisfying business experience for customers.",['H1'],Journal Economy And Currency Study (JECS)
334,['FMIPA2'],"SELEKSI DAN KARAKTERISASI PLANLET BAWANG MERAH
(Allium ascalonicum L.) TERHADAP CEKAMAN GARAM NATRIUM KLORIDA (NaCl) SECARA IN VITRO","Onion (Allium ascalonicum L.) is a spice commodity that has many benefits and high economic value. One of the factors causing low onion production is due to less productive land due to salt stress or salinity. This study aims to determine the specific character and effective concentration of NaCl for selection of onion plantlets under salt stress conditions in vitro. The research design was in the form of a completely randomized design (CRD) consisting of 1 factor, namely NaCl concentration: 0%, 0.15%, 0.30%, 0.45%, 0.60% with 5 replications. The homogeneity of the data was analyzed by Levene's test and continued with the oneway Anova test and Tukey's test at 5% significance level. The results showed that the effective concentration of NaCl for selection of onion plantlets under salt stress conditions in vitro was 0.15%. The higher the concentration of NaCl, the smaller the size of the plantlets with the lower the height of the plantlets, the visualization of the leaf color becomes yellowish green to brown, and the decreased content of chlorophyll a, b, and total chlorophyll.","['Q1', 'QK']",Jurnal Pertanian Agros
335,['FP5'],AGROFORESTRI: Potensi dan Implementasi dalam Lanskap Daerah Aliran Sungai,,['SD'],
336,['FP5'],AGROFORESTRI: Potensi dan Implementasi dalam lanskap Daerah Aliran Sungai,,['SD'],
337,['FH3'],Pertanggungjawaban Pidana Pelaku TindakPidana Penganiayaan yang Mengakibatkan Kematian,"Persecution  is  one  of  the violent  crimes committed against the human body in various forms of action, resulting in injury or pain to a person's body and even death. The act of mistreatment committed by a  person,  whether  intentionally  or  unintentionally, must  be  ascertained  in  advance  to  determine  the snares  of  sanctions  that  will  be  punished  for  that person. In the Criminal Code, Article 345 provides a qualification     formulation     that     the     group     of persecution  is  severe.  The  inhibiting  factors  for  the role  of  investigators  in  criminal acts  of  persecution that  result  in  death  are  community  factors  because people should understand that community life requires the  existence  of  law,  not  only  as  a  parameter  for justice,  order,  peace  and  order,  but  also  to  ensure legal certainty. The active role of the community will greatly   support   the   success   of   the   investigation process because the more active the support from the community, the more optimal law enforcement will be. Law     enforcement officers are     expected     in implementing law enforcement to prioritize preventive efforts, to disseminate information about the dangers of  violent  crimes,  persecution  or  other  criminal  acts that    often    occur    among    teenagers.    Judges    in examining,  adjudicating  and  passing  decisions  on criminal  cases  of  abuse  committed  by  teenagers  or children  together,  must  really  have  an  argument  on the best legal considerations",['K1'],ULIL ALBAB : Jurnal Ilmiah Multidisplin
